text,intent,labels,ner
tell me lexmark's current stock price,qa_stock,78,"[('lexmark', 'ORG')]"
whether it would be sunny in califonia,weather_query,104,"[('califonia', 'GPE')]"
remind me to pick up john from the airport tonight at eight,calendar_set,11,"[('john', 'PERSON'), ('tonight', 'TIME'), ('eight', 'TIME')]"
please wake me up at seven thirty am,alarm_set,2,"[('seven thirty am', 'TIME')]"
make a grocery list please,lists_createoradd,54,[]
could you order sushi for tonight dinner,takeaway_order,91,"[('tonight', 'TIME')]"
it is five forty five am in liverpool what time is now new york,datetime_convert,21,"[('five forty five am', 'TIME'), ('liverpool', 'GPE'), ('new york', 'GPE')]"
"you are awesome, thanks.",general_praise,35,[]
replace color from light to dark,iot_hue_lightchange,46,[]
play song aces high,play_music,68,[]
i would like the recipe for baked chicken,cooking_recipe,15,[]
what is glass made of,qa_factoid,76,[]
speaker volume decrease,audio_volume_down,6,[]
read the list,lists_query,55,[]
how many eggs are on my grocery list,lists_query,55,[]
add chives to my shopping list,lists_createoradd,54,[]
describe blanket,qa_definition,75,[]
list the latest apple stock prices,qa_stock,78,"[('apple', 'ORG')]"
Will you open the pod bay door,podbaydoor,72,[]
who has covered this song,music_query,58,[]
turn on the coffee machine to make me some coffee,iot_coffee,45,[]
i need the recipe for hot cross buns,cooking_recipe,15,[]
have any emails come in since four hundred today,email_query,25,"[('four hundred', 'TIME'), ('today', 'DATE')]"
i'd like you to turn turn on the tv,iot_wemo_on,52,[]
please confirm my last instruction.,general_confirm,30,[]
show me my meetings this friday,calendar_query,9,"[('this friday', 'DATE')]"
please let me know today's date,datetime_query,22,"[('today', 'DATE')]"
tweet my complaint on targets customer service,social_post,87,[]
play my favourite podcast,play_podcasts,70,[]
what's next on the list,lists_query,55,[]
give me a new light color,iot_hue_lightchange,46,[]
it's time for junk food,takeaway_order,91,[]
do you know the name of the song that is playing,music_query,58,[]
tell me about my life,tell_me_about,93,[]
how many bones does a human body have,qa_factoid,76,[]
yeap right response.,general_affirm,28,[]
when is president's day,qa_factoid,76,"[(""president's day"", 'DATE')]"
what time will i arrive in austin tx,transport_query,98,"[('austin', 'GPE')]"
yes good response to command.,general_affirm,28,[]
can you start the roomba,iot_cleaning,44,[]
activate radio and tune into nine hundred and eighty nine,play_radio,71,"[('nine hundred and eighty nine', 'CARDINAL')]"
who built the prado museum,qa_factoid,76,"[('the prado museum', 'FAC')]"
add grocery shopping to today's to do list,lists_createoradd,54,"[('today', 'DATE')]"
where is the nearest italian restaurant,recommendation_locations,81,"[('italian', 'NORP')]"
where is my food,takeaway_query,92,[]
my list please,lists_query,55,[]
add butter to the list,lists_createoradd,54,[]
where should i go for mexican food in me area,recommendation_locations,81,"[('mexican', 'NORP')]"
set an alarm for eight pm,alarm_set,2,"[('eight pm', 'TIME')]"
turn on my robot vacuum cleaner now,iot_cleaning,44,[]
latest technologies gadgets,general_quirky,36,[]
find an oscar nominee movie,recommendation_movies,82,"[('oscar', 'WORK_OF_ART')]"
are there any alarms set,alarm_query,0,[]
light off,iot_hue_lightoff,48,[]
can you raise the lights for me please,iot_hue_lightup,50,[]
turn room light off,iot_hue_lightoff,48,[]
what mexican food is around me,recommendation_locations,81,"[('mexican', 'NORP')]"
how do i make meal,cooking_recipe,15,[]
is it supposed to rain tomorrow,weather_query,104,"[('tomorrow', 'DATE')]"
tell me when i get new emails from principal lowry,email_query,25,"[('lowry', 'PERSON')]"
remove the doctor's appointment i added to my calendar for february twelfth at nine am,calendar_remove,10,"[('february twelfth', 'DATE'), ('nine am', 'TIME')]"
tell me a joke about dogs,general_joke,33,[]
find the nearest uber,transport_taxi,99,[]
is mysore going to be very hot and humid today whats the weather status,weather_query,104,"[('today', 'DATE')]"
figure out what percentage thirty is of one hundred and sixty three,qa_maths,77,"[('thirty', 'CARDINAL'), ('one hundred and sixty three', 'CARDINAL')]"
whats on my list for the time being,lists_query,55,[]
wake me up,alarm_set,2,[]
i need to go to lyon book a train ticket,transport_ticket,100,"[('lyon', 'GPE')]"
play book,play_audiobook,65,[]
am i on vacation this week,calendar_query,9,"[('this week', 'DATE')]"
set my calendar for an alarm at five pm tuesday,alarm_set,2,"[('five pm', 'TIME'), ('tuesday', 'DATE')]"
find a recipe that uses ground beef and zucchini,cooking_recipe,15,[]
what new movies are played in cinemas this week,recommendation_movies,82,"[('this week', 'DATE')]"
send an email to john that i am on my way to home,email_sendemail,27,"[('john', 'PERSON')]"
i want the light switched off can you do it for me,iot_hue_lightoff,48,[]
let's play a game,play_game,66,[]
i would love a less bright up room,iot_hue_lightdim,47,[]
what is the best movie to watch with a glass of wine,recommendation_movies,82,[]
what is the email sent by this contact read,email_query,25,[]
Why can you not open the pod bay door,podbaydoorresponse,73,[]
please would you reset.,general_repeat,37,[]
any recent news about north korea,news_query,61,"[('north korea', 'GPE')]"
please find all name start with alphabetic of g and create a list,lists_createoradd,54,[]
fast road to get home,transport_traffic,101,[]
play program on xmtune please,play_radio,71,"[('xmtune', 'ORG')]"
conversion between dollars and pounds,qa_currency,74,[]
tell me a good joke,general_joke,33,[]
run the vacuum,iot_cleaning,44,[]
Shhh,shutup,86,[]
any good fast food items,takeaway_order,91,[]
please will you check details.,general_confirm,30,[]
the meeting with justin and katrina has been changed put it on thursday,calendar_set,11,"[('justin', 'PERSON'), ('katrina', 'PERSON'), ('thursday', 'DATE')]"
turn the vibrate off from speaker,audio_volume_mute,7,[]
would not care.,general_dontcare,31,[]
find me my dad's email address,email_querycontact,26,[]
does charley's steakhouse deliver,takeaway_query,92,"[(""charley's"", 'ORG')]"
screen shot now,take_screenshot,90,[]
what is happening tomorrow,recommendation_events,80,"[('tomorrow', 'DATE')]"
let us do it again.,general_repeat,37,[]
what day of the week is the first of march,datetime_query,22,"[('the first', 'DATE'), ('march', 'DATE')]"
has anyone follow me today on twitter today,social_query,88,"[('today', 'DATE'), ('today', 'DATE')]"
are there any shopping centers nearby,recommendation_locations,81,[]
play hurt by johnny cash next,play_music,68,"[('johnny cash', 'PERSON')]"
the twenty second is on what day of the week,datetime_query,22,"[('the twenty second', 'DATE'), ('the week', 'DATE')]"
divide one thousand five hundred by one hundred and sixty,qa_maths,77,"[('one thousand five hundred', 'CARDINAL'), ('one hundred and sixty', 'CARDINAL')]"
confirm last thing said please.,general_confirm,30,[]
trash file one,lists_remove,56,"[('one', 'CARDINAL')]"
my calendar is to be updated with all rccg event in march,calendar_set,11,"[('march', 'DATE')]"
play i spy with me,play_game,66,[]
cross out bread from shopping list,lists_remove,56,[]
what is my next event,calendar_query,9,[]
show me the stock price for google,qa_stock,78,"[('google', 'ORG')]"
play new songs by barenaked ladies,play_music,68,"[('barenaked ladies', 'WORK_OF_ART')]"
please describe an elephant to me,qa_definition,75,[]
define elaborate,qa_definition,75,[]
how is the traffic from home to work,transport_traffic,101,[]
give me some lavender toned light,iot_hue_lightchange,46,[]
start the radio,play_radio,71,[]
have you made a mistake.,general_explain,32,[]
can you play the next podcast,play_podcasts,70,[]
start playing ringcast,play_podcasts,70,"[('ringcast', 'PRODUCT')]"
volume control unmute,volume_control,103,[]
turn my lights down to a lower level of brightness,iot_hue_lightdim,47,[]
i was not so clear about your answers.,general_explain,32,[]
take milk off my grocery list,lists_remove,56,[]
tell me all the current events in my hometown,recommendation_events,80,[]
that is of no importance for me.,general_dontcare,31,[]
i wish to go for cheap shopping is there any dollars shop nearby,recommendation_locations,81,[]
all lights has to be turned off during the day,iot_hue_lightoff,48,[]
play me some melody song,play_music,68,[]
would you please check and confirm detail.,general_confirm,30,[]
book taxi to new york city,transport_taxi,99,"[('new york city', 'GPE')]"
Why will you not open the pod bay door,podbaydoorresponse,73,[]
clear list things to do this weekend,lists_remove,56,"[('this weekend', 'DATE')]"
add event baseball practice five pm tonight,calendar_set,11,"[('five pm', 'TIME'), ('tonight', 'TIME')]"
can you play my favorite music,play_music,68,[]
turn the lights off now,iot_hue_lightoff,48,[]
find and order domino pizza at nearest store of domino,takeaway_order,91,[]
i'm in a meeting please do not speak,audio_volume_mute,7,[]
start making some coffee,iot_coffee,45,[]
download youtube video hd,download_youtube_video,23,[]
make the lights in my home yellow,iot_hue_lightchange,46,[]
i need a drink,iot_coffee,45,[]
you have done your understanding correcly.,general_affirm,28,[]
list current set alarms,alarm_query,0,[]
what are the current movies playing in me area,recommendation_movies,82,[]
tell me that words spoke again please.,general_repeat,37,[]
make the lights a different color,iot_hue_lightchange,46,[]
disable alarm for three pm,alarm_remove,1,"[('three pm', 'TIME')]"
play radio one,play_radio,71,[]
say it one more time please.,general_repeat,37,"[('one', 'CARDINAL')]"
draft an email to kailey about work later,email_sendemail,27,"[('kailey', 'PERSON')]"
order two pizzas from dominoes,takeaway_order,91,"[('two', 'CARDINAL'), ('dominoes', 'ORG')]"
current status of take out order,takeaway_query,92,[]
change song,music_settings,59,[]
can i have timing of keral express,transport_query,98,"[('keral express', 'PRODUCT')]"
it's exact.,general_affirm,28,[]
play me a random audio book that has to do with love,play_audiobook,65,[]
find funny jokes,general_joke,33,[]
can you deleted the current event,calendar_remove,10,[]
what's the exchange rate between czk and euro,qa_currency,74,[]
what is the forecast for the week,weather_query,104,"[('the week', 'DATE')]"
i want to play a game with you,play_game,66,[]
how warm is it in columbus ohio,weather_query,104,"[('columbus ohio', 'GPE')]"
delete all appointments for tomorrow,calendar_remove,10,"[('tomorrow', 'DATE')]"
i want you to check and confirm what last said please.,general_confirm,30,[]
turn on silent mode until my alarm goes off,audio_volume_mute,7,[]
open up contacts and add email something@gmail dot com,email_addcontact,24,[]
what's rene phone number,email_querycontact,26,[]
show me theatre where pirates of caribbean is playing,recommendation_movies,82,"[('pirates of caribbean', 'WORK_OF_ART')]"
"uh no, i think you have done task in wrong manner.",general_negate,34,[]
turn on vacuum cleaning,iot_cleaning,44,[]
play am,play_radio,71,[]
what is the difference between bake and broil,cooking_recipe,15,[]
find john smith in contacts,email_querycontact,26,"[('john smith', 'PERSON')]"
what is a funny joke,general_joke,33,[]
play bbc radio one,play_radio,71,"[('bbc radio one', 'ORG')]"
"s2, i can not catch up with you.",general_explain,32,"[('s2', 'PERSON')]"
tell me a clean joke,general_joke,33,[]
are you sure that is correct.,general_negate,34,[]
send the following email to bro hi come down for dinner tonight,email_sendemail,27,"[('bro', 'PERSON')]"
what day of the week is it,datetime_query,22,[]
please let me know the exchange rate between indian rupees and us,qa_currency,74,[]
which rom com movie can i watch in theatres around new york,recommendation_movies,82,"[('new york', 'GPE')]"
get me match highlights,news_query,61,[]
what's the latest news about us election,news_query,61,"[('us', 'GPE')]"
tell me when obama was born,qa_factoid,76,"[('obama', 'PERSON')]"
open website wikipedia.com,open_website,63,[]
open note pad,lists_query,55,[]
make me a cappuccino,iot_coffee,45,[]
do a tournament with me in candy crush,play_game,66,[]
please add list of things to buy for party,lists_createoradd,54,[]
make an alarm for me at five am tomorrow,alarm_set,2,"[('five am', 'TIME'), ('tomorrow', 'DATE')]"
when it is nine in the east what time is it in the west,datetime_convert,21,"[('nine', 'CARDINAL')]"
I am finding myself bored,i_am_bored,43,[]
date and time,datetime_query,22,[]
can you tell me whats on my shopping list,lists_query,55,[]
Tell me about,tell_me_about,93,[]
order takeout,takeaway_order,91,[]
what is the dollar price in inr,qa_currency,74,[]
"you are smart, olly.",general_praise,35,"[('olly', 'PERSON')]"
set alarm for one hour from now,alarm_set,2,"[('one hour from now', 'TIME')]"
save my opinion on adele's song,music_likeness,57,"[('adele', 'PERSON')]"
i need a good chick flick any thoughts,recommendation_movies,82,[]
please skip two songs,music_settings,59,"[('two', 'CARDINAL')]"
what is the time in india when the time in us is twelve pm,datetime_convert,21,"[('india', 'GPE'), ('twelve pm', 'TIME')]"
make me laugh,general_joke,33,[]
has derek logged into facebook today,social_query,88,"[('derek', 'PERSON'), ('today', 'DATE')]"
yes you have done that exactly.,general_affirm,28,[]
yeap you have done answer exactly.,general_affirm,28,[]
email hwu@gmail dot com add to email contacts,email_addcontact,24,[]
opinion about latest gadgets,general_quirky,36,[]
can you be my best friend,general_quirky,36,[]
remove all upcoming events please,calendar_remove,10,[]
whats needed to make pizza,cooking_recipe,15,[]
I need cheering up,jokes,53,[]
create a new list for school supplies,lists_createoradd,54,[]
what are the details on umf,general_quirky,36,[]
can you tell me a nice joke,general_joke,33,[]
is it going to snow tonight,weather_query,104,"[('tonight', 'TIME')]"
my party list,lists_query,55,[]
domino's has takeaway right,takeaway_query,92,"[('domino', 'GPE')]"
make my coffee,iot_coffee,45,[]
what is starbuck's stock worth,qa_stock,78,"[(""starbuck's"", 'ORG')]"
keep quiet,audio_volume_mute,7,[]
on twenty third february rahul will come with me on india cricket match,calendar_set,11,"[('twenty third february', 'DATE'), ('rahul', 'PERSON'), ('india', 'GPE')]"
cancel list,lists_remove,56,[]
you've gotten your understanding correcly.,general_affirm,28,[]
make me coffee in five minutes,iot_coffee,45,"[('five minutes', 'TIME')]"
what is the temperature right now in new york,qa_factoid,76,"[('new york', 'GPE')]"
what meetings do i have next thursday,calendar_query,9,"[('next thursday', 'DATE')]"
look for a taxi to go home,transport_taxi,99,[]
make a note please i like modern alternative rock music,music_likeness,57,[]
could you confirm what i just said please.,general_confirm,30,[]
my vacuum cleaner should start between ten to eleven am everyday,iot_cleaning,44,"[('between ten to eleven am', 'TIME'), ('everyday', 'DATE')]"
what is the latest from my feed,social_query,88,[]
locate local pizza shops,recommendation_locations,81,[]
i'd like you to shut off my smart plug socket now please,iot_wemo_off,51,[]
how time is it,datetime_query,22,[]
clean my entire calendar,calendar_remove,10,[]
brew a pot of coffee,iot_coffee,45,[]
when's mark lanegan's next album out,qa_factoid,76,"[(""mark lanegan's"", 'PERSON')]"
how is this weeks weather,weather_query,104,"[('weeks', 'DATE')]"
i could not quite catch up with you.,general_explain,32,[]
what is the time in china,datetime_query,22,"[('china', 'GPE')]"
take screenshot of,take_screenshot,90,[]
say it once again please.,general_repeat,37,[]
i want to go to mcdo,transport_query,98,"[('mcdo', 'GPE')]"
info of rowan atkinson,qa_factoid,76,"[('rowan atkinson', 'PERSON')]"
how is the traffic right now,transport_traffic,101,[]
how many countries are in europe,qa_factoid,76,"[('europe', 'LOC')]"
what is the definition of this,qa_definition,75,[]
send email new address,email_sendemail,27,[]
get me a train ticket to go to,transport_ticket,100,[]
can you turn on the vacuum,iot_cleaning,44,[]
how long do i need to cook a brisket for it to be medium,cooking_recipe,15,[]
What actions can you perform?,what_can_you_do,105,[]
what is a shoal,qa_definition,75,[]
play the game of thrones audio book from the last chapter i was on,play_audiobook,65,"[('play the game of thrones', 'WORK_OF_ART')]"
what's the traffic on the one hundred and one,transport_traffic,101,"[('the one hundred and one', 'FAC')]"
which pubs participate in the jazz festival,recommendation_events,80,"[('the jazz festival', 'EVENT')]"
please open audible app and resume play,play_audiobook,65,"[('audible app', 'ORG')]"
bring up a complaint form,social_post,87,[]
send a taxi to come pick me up from my location,transport_taxi,99,[]
fantastic response to the command.,general_affirm,28,[]
could you tell me the last spoke once again.,general_repeat,37,[]
time to hear me some blake shelton,play_music,68,"[('shelton', 'PERSON')]"
what is amazon worth,qa_stock,78,"[('amazon', 'ORG')]"
How are you?,courtesygreeting,17,[]
tell me about the presidential race,news_query,61,[]
what are the steps for biriyani meal,cooking_recipe,15,[]
send a complaint to my boss,social_post,87,[]
how do you like being my assistant,general_quirky,36,[]
delete my next scheduled event please,calendar_remove,10,[]
is brad pitt married,qa_factoid,76,"[('brad pitt', 'PERSON')]"
delete the scheduled meeting on fourth october twelve pm,calendar_remove,10,"[('fourth october', 'DATE'), ('twelve pm', 'TIME')]"
"any one, olly.",general_dontcare,31,"[('olly', 'PERSON')]"
screen shot of,take_screenshot,90,[]
who's birthdays are today on facebook,social_query,88,"[('today', 'DATE')]"
delete alarm,alarm_remove,1,[]
louder please,audio_volume_up,8,[]
call eastwind and order lomaine to go,takeaway_order,91,"[('lomaine', 'PERSON')]"
what is the exchange rate between u. s. d. and euro,qa_currency,74,"[('u. s. d.', 'GPE')]"
tell me the local events,recommendation_events,80,[]
set my alarm for twelve pm,alarm_set,2,"[('twelve pm', 'TIME')]"
all rccg march event is to be added to my calendar,calendar_set,11,"[('rccg march', 'EVENT')]"
sorry but that was not the correct response.,general_negate,34,[]
good news for economy,tell_me_news,95,[]
how is weather on such and such day,weather_query,104,[]
what time is my domino's order expected to arrive,takeaway_query,92,[]
i want to buy over ear headphones with minimum frequency response of fifteen hz and maximum frequency response twenty two thousand hz,general_quirky,36,"[('fifteen hz', 'QUANTITY'), ('twenty two thousand hz', 'QUANTITY')]"
save this song in my great songs category,music_likeness,57,[]
what events are scheduled for me to do today,calendar_query,9,"[('today', 'DATE')]"
weather,asking_weather,5,[]
resume the two towers,play_audiobook,65,"[('two', 'CARDINAL')]"
what's john's home phone number,email_querycontact,26,"[('john', 'PERSON')]"
i would like it if my robot could make money for me,general_quirky,36,[]
will they deliver to me,takeaway_query,92,[]
i need one cup of coffee,iot_coffee,45,"[('one cup', 'QUANTITY')]"
post this to my facebook lol,social_post,87,[]
do i have a new email from eric,email_query,25,"[('eric', 'PERSON')]"
lets play chess together,play_game,66,[]
"ah it was great one, olly.",general_praise,35,"[('one', 'CARDINAL'), ('olly', 'PERSON')]"
how much is a round trip train ticket to go to new york,transport_query,98,"[('new york', 'GPE')]"
which song am i listening to right now,music_query,58,[]
forward email,email_sendemail,27,[]
find restaurant order food name,takeaway_order,91,[]
Hello how are you?,courtesygreeting,17,[]
please keep everything i have on this song,music_likeness,57,[]
post to facebook at the spa yay with a smiley face emoticon,social_post,87,[]
how much longer until my pizza will be here,takeaway_query,92,[]
please open chess game i would like to play with you,play_game,66,[]
make this room brighter,iot_hue_lightup,50,[]
remove tomorrow's alarm,alarm_remove,1,"[('tomorrow', 'DATE')]"
new policies,news_query,61,[]
will you check what i said please.,general_confirm,30,[]
what are john's contact details,email_querycontact,26,"[('john', 'PERSON')]"
delete the dog list for me,lists_remove,56,[]
"nope, i did not say it.",general_negate,34,[]
are there any new emails in outlook,email_query,25,[]
best ticket price air plane to chester on the twenty first,transport_ticket,100,"[('chester', 'GPE'), ('the twenty first', 'DATE')]"
please run the vacuum cleaner,iot_cleaning,44,[]
let wendy's know i hate them,social_post,87,"[('wendy', 'PERSON')]"
do not mind.,general_dontcare,31,[]
play be warned by tech n9ne,play_music,68,[]
update work out list with new items,lists_createoradd,54,[]
send an email to juanpedro@gmail dot com,email_sendemail,27,[]
hips dont lie thats the song i would like you to play for me,play_music,68,[]
Will you open the pod bay door please,podbaydoor,72,[]
"you are star, thank you.",general_praise,35,[]
is the weather bad in new york right now,weather_query,104,"[('new york', 'GPE')]"
order a train ticket to boston,transport_ticket,100,"[('boston', 'GPE')]"
it's eight at night in france what time is it in new york,datetime_convert,21,"[('eight at night', 'TIME'), ('france', 'GPE'), ('new york', 'GPE')]"
is it going to rain today in san diego,weather_query,104,"[('today', 'DATE'), ('san diego', 'GPE')]"
open td ameritrade,qa_stock,78,"[('td ameritrade', 'PERSON')]"
olly that will be all.,general_commandstop,29,[]
tweet real donald trump that angela merkel will not shake his hand anymore,social_post,87,"[('donald trump', 'PERSON'), ('angela merkel', 'PERSON')]"
what's next,general_quirky,36,[]
which alarms are set in the phone,alarm_query,0,[]
please delete the contacts that i havent spoken to in three of months,email_querycontact,26,"[('three of months', 'DATE')]"
turn off the lamps,iot_hue_lightoff,48,[]
hey call the nearest chinese restaurant for a takeaway,takeaway_order,91,"[('chinese', 'NORP')]"
help me call james,email_querycontact,26,"[('james', 'PERSON')]"
open book,play_audiobook,65,[]
what are the events conducted in new york,recommendation_events,80,"[('new york', 'GPE')]"
how was the weather this week,weather_query,104,"[('this week', 'DATE')]"
yeah you get it perfectly.,general_affirm,28,[]
show traffic in ohio,transport_traffic,101,"[('ohio', 'GPE')]"
olly would you shut off.,general_commandstop,29,[]
add apahelp@yahoo dot com in my contact list,email_addcontact,24,[]
tell me a joke about chickens,general_joke,33,[]
current date please,datetime_query,22,[]
I am so bored,i_am_bored,43,[]
change the lights into green,iot_hue_lightchange,46,[]
jane doe,email_query,25,"[('jane doe', 'PERSON')]"
is the answer of five plus two seven,qa_maths,77,"[('five', 'CARDINAL'), ('two', 'CARDINAL'), ('seven', 'CARDINAL')]"
will you check and confirm that please.,general_confirm,30,[]
is the song by shakira,music_query,58,"[('shakira', 'PERSON')]"
give me a recipe for lasagne,cooking_recipe,15,[]
tell me once more please.,general_repeat,37,[]
help me to mute my speaker,audio_volume_mute,7,[]
Quiet,shutup,86,[]
when is my alarm set for,alarm_query,0,[]
how slow is traffic on the five,transport_traffic,101,"[('five', 'FAC')]"
disable my three pm alarm,alarm_remove,1,"[('three pm', 'TIME')]"
i need some sushi what's closest,recommendation_locations,81,[]
do i have a party tomorrow save on my calendar,calendar_query,9,"[('tomorrow', 'DATE')]"
give me the definition of formidable,qa_definition,75,[]
give me low lighting in the kitchen,iot_hue_lightdim,47,[]
play my country playlist,play_music,68,[]
order six chicken tacos from chipotle,takeaway_order,91,"[('six', 'CARDINAL'), ('chipotle', 'ORG')]"
remember metallica selections for next time,music_likeness,57,"[('metallica', 'ORG')]"
louder volume please,audio_volume_up,8,[]
remove mike stein from contacts list,lists_remove,56,"[('mike stein', 'PERSON')]"
turn off the office lights,iot_hue_lightoff,48,[]
what ingredients do i need for tomato soup,cooking_recipe,15,[]
change my light color to yellow,iot_hue_lightchange,46,[]
how much do you know about me,general_quirky,36,[]
play npr through my living room stereo,play_radio,71,[]
please add note to this file good tune,music_likeness,57,[]
how effective will be to buy nike stock,qa_stock,78,"[('nike', 'ORG')]"
whose song is this,music_query,58,[]
set an alarm for me at eight am,alarm_set,2,"[('eight am', 'TIME')]"
does mr t have a family,general_quirky,36,[]
add grocery shopping to my to do list,lists_createoradd,54,[]
how do i get to poughkeepsie from new york city,transport_query,98,"[('poughkeepsie', 'GPE'), ('new york city', 'GPE')]"
"nice job, you have done well, olly.",general_praise,35,"[('olly', 'PERSON')]"
"s2, i didn't catch that.",general_explain,32,[]
how is the traffic around city center,transport_traffic,101,[]
Hi there,greeting,41,[]
could you speak more softly,audio_volume_up,8,[]
check internet speed of <name>,check_internet_speed,12,[]
adjust the lights to a lower setting please,iot_hue_lightdim,47,[]
can you save this song to my favorites,music_likeness,57,[]
call pizza hut and find out if my order is ready,takeaway_query,92,"[('pizza hut', 'ORG')]"
could you please tell me what time is in singapore,datetime_query,22,"[('singapore', 'GPE')]"
i wouldn't know.,general_dontcare,31,[]
can you turn off one of my lights in my bathroom,iot_hue_lightoff,48,"[('one', 'CARDINAL')]"
remove item from list,lists_remove,56,[]
where is the closest sweet frog,recommendation_locations,81,[]
what's the good news?,tell_me_news,95,[]
i want to eat two pita gyros please and some diet coke,takeaway_order,91,"[('two', 'CARDINAL')]"
text sarah if she is free for brunch today,email_sendemail,27,"[('sarah', 'PERSON'), ('today', 'DATE')]"
keep the socket in off condition,iot_wemo_off,51,[]
rotate the light colors,iot_hue_lightchange,46,[]
evaluate today's schedule,lists_query,55,"[('today', 'DATE')]"
will you please get the coffee machine to make some coffee,iot_coffee,45,[]
change up the light colors at home,iot_hue_lightup,50,[]
save this channel on pandora please,music_likeness,57,"[('pandora', 'ORG')]"
set alarm at nine am on next sunday,alarm_set,2,"[('nine am', 'TIME'), ('next sunday', 'DATE')]"
Tell me your name?,namequery,60,[]
show me the recipe for cookies,cooking_recipe,15,[]
"nope, you are incorrect.",general_negate,34,[]
can i pass the bypass road at current traffic,transport_traffic,101,[]
is there any rap that doesn't involve sex money and drugs,music_query,58,[]
make sure my shuffles are always repeat and always shuffled,music_settings,59,[]
has it been a busy day,general_quirky,36,"[('a busy day', 'DATE')]"
please run the vacuum,iot_cleaning,44,[]
"well done, musch appreciated.",general_praise,35,"[('musch', 'PERSON')]"
provide what is there on the list,lists_query,55,[]
how expensive is google stock,qa_stock,78,"[('google', 'ORG')]"
explain further on last sentence to me please.,general_explain,32,[]
that must be some mistakes.,general_negate,34,[]
equalize the bass of this music,music_settings,59,[]
what is the square of 4,qa_maths,77,"[('4', 'CARDINAL')]"
play the audiobook swan from first,play_audiobook,65,"[('swan', 'WORK_OF_ART'), ('first', 'WORK_OF_ART')]"
recipe for crabmeat,cooking_recipe,15,[]
tell me the email address for aunt ruth,email_querycontact,26,"[('ruth', 'PERSON')]"
list local ongoing exhibitions,recommendation_events,80,[]
turn off the light in the living room,iot_hue_lightoff,48,[]
remove cereal from my shopping list,lists_remove,56,[]
what music is currently playing,music_query,58,[]
siri find train tickets to nc,transport_query,98,"[('siri', 'PERSON'), ('nc', 'GPE')]"
send mail to bubbles i want to meet her tomorrow at two pm in office,email_sendemail,27,"[('bubbles', 'PERSON'), ('tomorrow', 'DATE'), ('two pm', 'TIME')]"
what is my grocery list,lists_query,55,[]
what events are going in my town this week,recommendation_events,80,"[('this week', 'DATE')]"
play football news from radio one,play_radio,71,"[('radio one', 'ORG')]"
i want to hear sleeptime playlist next,play_music,68,[]
get me a local restaurant,recommendation_locations,81,[]
i am not so clear about what you just said.,general_explain,32,[]
what events are going to happen in my city between two four pm today,calendar_query,9,"[('between two four pm', 'TIME'), ('today', 'DATE')]"
cancel my three pm alarm,alarm_remove,1,"[('three pm', 'TIME')]"
schedule a journey to las vegas by train,transport_ticket,100,"[('las vegas', 'GPE')]"
vacuum the house,iot_cleaning,44,[]
if it is a consumer good then what is the customer feedback,general_quirky,36,[]
can you start fm eight hundred and ninety radio channel,play_radio,71,"[('fm eight hundred and ninety', 'ORG')]"
"you are the best,.",general_praise,35,[]
what is the highest mountain in the world,qa_factoid,76,[]
prepare the order as soon as possible,takeaway_query,92,[]
i have no idea regarding to which to select.,general_dontcare,31,[]
please tell me it one more again.,general_repeat,37,"[('one', 'CARDINAL')]"
